"행정구역","2013년_계_총인구수","2013년_계_연령구간인구수","2013년_계_20~29세","2013년_계_30~39세","2014년_계_총인구수","2014년_계_연령구간인구수","2014년_계_20~29세","2014년_계_30~39세","2015년_계_총인구수","2015년_계_연령구간인구수","2015년_계_20~29세","2015년_계_30~39세","2016년_계_총인구수","2016년_계_연령구간인구수","2016년_계_20~29세","2016년_계_30~39세","2017년_계_총인구수","2017년_계_연령구간인구수","2017년_계_20~29세","2017년_계_30~39세","2018년_계_총인구수","2018년_계_연령구간인구수","2018년_계_20~29세","2018년_계_30~39세"
"전국  (0000000000)","51,141,463","14,604,943","6,589,529","8,015,414","51,327,916","14,453,891","6,642,044","7,811,847","51,529,338","14,370,014","6,699,048","7,670,966","51,696,216","14,292,568","6,758,428","7,534,140","51,778,544","14,179,616","6,810,967","7,368,649","51,826,059","14,094,116","6,823,973","7,270,143"
"서울특별시  (1100000000)","10,143,645","3,223,294","1,459,843","1,763,451","10,103,233","3,171,617","1,457,951","1,713,666","10,022,181","3,115,474","1,447,221","1,668,253","9,930,616","3,063,675","1,442,701","1,620,974","9,857,426","3,026,304","1,447,115","1,579,189","9,765,623","2,998,560","1,449,790","1,548,770"
"부산광역시  (2600000000)","3,527,635","976,701","458,642","518,059","3,519,401","961,713","456,897","504,816","3,513,777","950,472","456,514","493,958","3,498,529","938,715","455,199","483,516","3,470,653","919,415","451,791","467,624","3,441,453","899,448","444,737","454,711"
"대구광역시  (2700000000)","2,501,588","690,066","322,547","367,519","2,493,264","677,173","323,936","353,237","2,487,829","669,388","326,755","342,633","2,484,557","663,695","329,927","333,768","2,475,231","656,227","332,212","324,015","2,461,769","648,823","330,845","317,978"
"인천광역시  (2800000000)","2,879,782","863,143","393,569","469,574","2,902,608","859,651","398,391","461,260","2,925,815","858,011","402,113","455,898","2,943,069","856,765","406,622","450,143","2,948,542","849,476","409,811","439,665","2,954,642","843,463","409,794","433,669"
"광주광역시  (2900000000)","1,472,910","431,235","196,390","234,845","1,475,884","425,360","197,540","227,820","1,472,199","419,722","198,686","221,036","1,469,214","414,797","201,402","213,395","1,463,770","409,132","203,610","205,522","1,459,336","406,163","205,743","200,420"
"대전광역시  (3000000000)","1,532,811","454,704","208,751","245,953","1,531,809","447,727","210,031","237,696","1,518,775","439,469","210,749","228,720","1,514,370","435,675","212,796","222,879","1,502,227","429,257","213,973","215,284","1,489,936","422,995","213,955","209,040"
"울산광역시  (3100000000)","1,156,480","338,097","153,164","184,933","1,166,377","338,801","156,137","182,664","1,173,534","339,448","158,615","180,833","1,172,304","335,848","158,704","177,144","1,165,132","328,031","156,966","171,065","1,155,623","319,567","153,359","166,208"
"세종특별자치시  (3600000000)","122,153","33,478","13,884","19,594","156,125","45,180","17,532","27,648","210,884","63,068","23,043","40,025","243,048","72,474","26,523","45,951","280,100","82,673","30,266","52,407","314,126","92,412","34,031","58,381"
"경기도  (4100000000)","12,234,630","3,615,146","1,576,139","2,039,007","12,357,830","3,599,981","1,608,430","1,991,551","12,522,606","3,614,040","1,644,870","1,969,170","12,716,780","3,643,196","1,687,250","1,955,946","12,873,895","3,656,513","1,721,524","1,934,989","13,077,153","3,698,625","1,749,054","1,949,571"
"강원도  (4200000000)","1,542,263","382,608","180,364","202,244","1,544,442","376,262","181,760","194,502","1,549,507","374,556","184,802","189,754","1,550,806","370,276","184,869","185,407","1,550,142","366,102","185,914","180,188","1,543,052","358,469","182,891","175,578"
"충청북도  (4300000000)","1,572,732","419,621","192,553","227,068","1,578,933","414,769","194,013","220,756","1,583,952","412,714","196,456","216,258","1,591,625","410,724","198,134","212,590","1,594,432","407,345","199,663","207,682","1,599,252","406,509","200,941","205,568"
"충청남도  (4400000000)","2,047,631","547,460","240,680","306,780","2,062,273","543,171","242,365","300,806","2,077,649","541,142","244,233","296,909","2,096,727","540,833","246,298","294,535","2,116,770","540,722","248,359","292,363","2,126,282","537,386","248,443","288,943"
"전라북도  (4500000000)","1,872,965","466,585","217,630","248,955","1,871,560","456,830","217,542","239,288","1,869,711","451,215","218,698","232,517","1,864,791","444,987","219,336","225,651","1,854,607","435,899","219,942","215,957","1,836,832","425,428","217,554","207,874"
"전라남도  (4600000000)","1,907,172","438,375","203,211","235,164","1,905,780","432,226","204,149","228,077","1,908,996","431,371","206,551","224,820","1,903,914","425,915","206,423","219,492","1,896,424","419,647","207,412","212,235","1,882,970","411,745","206,817","204,928"
"경상북도  (4700000000)","2,699,440","682,021","314,302","367,719","2,700,794","669,000","312,801","356,199","2,702,826","658,940","311,383","347,557","2,700,398","647,896","308,303","339,593","2,691,706","634,477","305,390","329,087","2,676,831","619,667","300,125","319,542"
"경상남도  (4800000000)","3,333,820","889,265","389,509","499,756","3,350,257","878,579","391,686","486,893","3,364,702","871,608","394,794","476,814","3,373,871","863,615","397,368","466,247","3,380,404","851,333","397,268","454,065","3,373,988","835,415","394,180","441,235"
"제주특별자치도  (5000000000)","593,806","153,144","68,351","84,793","607,346","155,851","70,883","84,968","624,395","159,376","73,565","85,811","641,597","163,482","76,573","86,909","657,083","167,063","79,751","87,312","667,191","169,441","81,714","87,727"
